"id_sample","id_condition_int","cat_condition_type_int","id_es_int","chr_measure_name","is_measure_std_int","m_pre_int","sd_pre_int","n_pre_int","id_condition_ctl","cat_condition_type_ctl","id_es_ctl","m_pre_ctl","sd_pre_ctl","n_pre_ctl","m_post_int","m_post_ctl","sd_post_int","sd_post_ctl","n_post_int","n_post_ctl","m_delayed_int","m_delayed_ctl","sd_delayed_int","sd_delayed_ctl","n_delayed_int","n_delayed_ctl","num_month_of_delayed_int","num_month_of_delayed_ctl"
"118","118Nm","1",85,"Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,"118bau","ctl",89,NA,NA,NA,498.6,483.33,22.57,11.93,191,76,NA,NA,NA,NA,NA,NA,NA,NA
"118","118Nm","2",86,"Passage comprehension (Pre/post)","NO - Not standardized",0.32,0.074,257,"118bau","ctl",88,0.32,0.049,76,0.38,0.35,0.054,0.04,257,76,NA,NA,NA,NA,NA,NA,NA,NA
"118","118Nm","2",87,"Gates-MacGinitie Reading Comprehension Test","YES - standardized",NA,NA,NA,"118bau","ctl",89,NA,NA,NA,468.57,483.33,15.85,11.93,257,76,NA,NA,NA,NA,NA,NA,NA,NA
"119","119NGcm","1",90,"Computerized Reading Comprehension","NO - Not standardized",0.53,0.14142135623731,50,"119bau","ctl",92,0.47,0.150996688705415,57,0.56,0.53,0.13114877048604,0.13856406460551,43,48,"0.61","0.56000000000000005",0.00291729982995789,0.00282842712474619,47,50,7,7
"119","119Ncm","2",91,"Computerized Reading Comprehension","NO - Not standardized",0.51,0.13856406460551,48,"119bau","ctl",92,0.47,0.150996688705415,57,0.57,0.53,0.12328828005938,0.13856406460551,38,48,"0.6","0.56000000000000005",0.00468521285665818,0.00282842712474619,41,50,7,7
"120","120NGm","1",93,"MAP RC","NO - Not standardized",171.92,15.81,319,"120bau","ctl",95,173.76,15.97,165,176.59,175.88,15.58,17.13,403,204,NA,NA,NA,NA,NA,NA,NA,NA
"120","120NGm","1",94,"*DIBLE (Combined - word reading fluency, oral reading fluency, and retell ability)","YES - standardized",189.37,101.26,425,"120bau","ctl",96,191.19,112.27,212,188.05,186.26,85.78,93.54,431,214,NA,NA,NA,NA,NA,NA,NA,NA
"121","121NGm","1",97,"Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,"121bau","ctl",99,NA,NA,NA,20.43,18.94,3.04,3.62,94,86,"19.07","18.329999999999998",3.292,3.29,94,96,3,3
"121","121Nm","2",98,"Reading comprehension scores (maximum scores: 36)","NO - Not standardized",NA,NA,NA,"121bau","ctl",99,NA,NA,NA,19.38,18.94,2.8,3.62,99,86,"19.12","18.329999999999998",3.18,3.29,99,96,3,3
"123","123Nm","1",102,"History reading comprehension","NO - Not standardized",12.48,6.1,103,"123bau","ctl",103,12.14,6.1,100,15.63,14.27,5.35,5.58,103,100,NA,NA,NA,NA,NA,NA,NA,NA
"124","124Nm","1",108,"parallel reading comprehension tests","YES - standardized",50.3,9.89,168,"124bau","ctl",109,49.71,10.12,174,55.62,44.57,8.22,8.45,168,174,NA,NA,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1",110,"Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_1m","ctl",113,NA,NA,NA,6.28,5.57,1.33,1.64,32,28,NA,NA,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1",111,"Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_1m","ctl",114,NA,NA,NA,6.03,5.59,1.73,1.64,32,28,NA,NA,NA,NA,NA,NA,NA,NA
"125_1","125_1Nm","1",112,"Pretest ONLY. Standardized reading","YES - standardized",47.79,25.35,32,"125_1m","ctl",115,43.32,34.25,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1",116,"Information Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_2m","ctl",119,NA,NA,NA,8.09,7.88,1.59,1.72,33,27,NA,NA,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1",117,"Narrative Text - Volcano/river","NO - Not standardized",NA,NA,NA,"125_2m","ctl",120,NA,NA,NA,4.76,4,1.2,0.87,33,27,NA,NA,NA,NA,NA,NA,NA,NA
"125_2","125_2Nm","1",118,"Pretest ONLY. Standardized reading","YES - standardized",53.35,30.29,33,"125_2m","ctl",121,38.31,35.56,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1",122,"Information Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_3m","ctl",125,NA,NA,NA,7.92,7.35,1.54,1.54,23,24,NA,NA,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1",123,"Narrative Text - Pond/desert","NO - Not standardized",NA,NA,NA,"125_3m","ctl",126,NA,NA,NA,5.4,4.44,1.34,1.34,23,24,NA,NA,NA,NA,NA,NA,NA,NA
"125_3","125_3Nm","1",124,"Pretest ONLY. Standardized reading","YES - standardized",43.29,11.77,23,"125_3m","ctl",127,37.46,12.6,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
